,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
24,24,-0.015299395012796093,2020-08-12 23:13:02.394579,2020-08-12 23:49:50.462951,0 days 00:36:48.068372000,0.0003725391930560006,256,128.0,0.00029972651385014434,0.8972606114657689,78,1.3198703167928972e-05,COMPLETE
25,25,-0.08281718776251862,2020-08-12 23:49:50.463457,2020-08-13 00:26:39.066292,0 days 00:36:48.602835000,0.0011167608579025726,256,96.0,0.0016910292300405156,0.998063697674425,51,1.918219691974449e-06,COMPLETE
26,26,-0.146290156609494,2020-08-13 00:26:39.066800,2020-08-13 01:35:10.651334,0 days 01:08:31.584534000,0.0037131958762708296,128,112.0,0.0006834201813066929,0.9700954198595245,69,5.265391535244548e-06,COMPLETE
27,27,-0.10691152379310229,2020-08-13 01:35:10.651842,2020-08-13 02:43:58.922484,0 days 01:08:48.270642000,0.004367385535757803,128,80.0,0.0006576866777649469,0.8979688663036389,67,4.919646929240047e-06,COMPLETE
28,28,-0.12461210284134641,2020-08-13 02:43:58.922986,2020-08-13 03:53:25.531384,0 days 01:09:26.608398000,0.009631307535285554,128,96.0,0.0007862678984701063,0.9643734372744325,59,1.6392793110923654e-05,COMPLETE
29,29,-0.009623257876480383,2020-08-13 03:53:25.531893,2020-08-13 05:02:30.146382,0 days 01:09:04.614489000,0.00018645175788009114,128,128.0,0.00012940942684614345,0.9334055212974363,60,6.072373954325274e-06,COMPLETE
30,30,-0.007825420822074937,2020-08-13 05:02:30.146897,2020-08-13 05:39:38.248587,0 days 00:37:08.101690000,0.00010960839289521578,256,64.0,0.0012974965179939767,0.8054960963251299,71,0.0008286898708038319,COMPLETE
31,31,-0.051554810618475985,2020-08-13 05:39:38.249099,2020-08-13 06:16:27.443618,0 days 00:36:49.194519000,0.0015771863420408737,256,112.0,0.0003553116583401693,0.9714122621812478,94,1.7039690445070871e-06,COMPLETE
32,32,-0.05315863294437293,2020-08-13 06:16:27.444131,2020-08-13 06:53:28.128958,0 days 00:37:00.684827000,0.004214517449728188,256,112.0,0.0005339034417789885,0.9233308738228322,86,1.0103159561601364e-06,COMPLETE
33,33,-0.15033031901228344,2020-08-13 06:53:28.129469,2020-08-13 08:04:49.245771,0 days 01:11:21.116302000,0.0006061168545991479,128,112.0,0.0008997684839406763,0.9656788331093997,50,3.633638804538107e-06,COMPLETE
34,34,-0.11192073220721273,2020-08-13 08:04:49.246276,2020-08-13 09:11:28.732185,0 days 01:06:39.485909000,0.0005957586561675866,128,96.0,0.0016585451079199711,0.9673500193980878,49,8.801728777263877e-06,COMPLETE
35,35,-0.08371004498982487,2020-08-13 09:11:28.732868,2020-08-13 10:12:38.101705,0 days 01:01:09.368837000,0.0005996638917759209,128,128.0,0.000983039171804194,0.6901832894940783,42,4.055088772363953e-06,COMPLETE
36,36,-0.07611092231823383,2020-08-13 10:12:38.102198,2020-08-13 11:17:49.554025,0 days 01:05:11.451827000,0.0014198068370001803,128,80.0,0.000867563547560119,0.8846650119238272,36,9.10040380365433e-06,COMPLETE
37,37,-0.1388255573141951,2020-08-13 11:17:49.554541,2020-08-13 12:21:50.336261,0 days 01:04:00.781720000,0.004320500057042871,128,112.0,0.0005819082509611935,0.9595901689730837,56,2.1901790296166215e-05,COMPLETE
38,38,-0.14333813634041914,2020-08-13 12:21:50.336797,2020-08-13 13:25:36.585070,0 days 01:03:46.248273000,0.0016013600129743614,128,96.0,0.0012061368549117326,0.9198375691389095,61,1.44456697393128e-06,COMPLETE
39,39,-0.1289683104314257,2020-08-13 13:25:36.585568,2020-08-13 13:59:30.475920,0 days 00:33:53.890352000,0.004934129990628114,256,80.0,0.0017388728659147703,0.6371321351078401,51,0.0001473839974737524,COMPLETE
40,40,-0.020040204833835545,2020-08-13 13:59:30.476498,2020-08-13 15:03:38.875213,0 days 01:04:08.398715000,0.00018152150771296127,128,48.0,0.0002862156636453431,0.8229336096555337,71,3.89667293929737e-06,COMPLETE
41,41,-0.1410188852027522,2020-08-13 15:03:38.875722,2020-08-13 16:08:10.034204,0 days 01:04:31.158482000,0.0016394100594145865,128,96.0,0.0012317327661191288,0.9226721712473129,64,1.83119619289119e-06,COMPLETE
42,42,-0.1368471545352631,2020-08-13 16:08:10.034700,2020-08-13 17:12:19.896032,0 days 01:04:09.861332000,0.006815257411973171,128,96.0,0.0010038634891264598,0.88058452165072,61,1.5509289752803931e-06,COMPLETE
43,43,-0.1115726985486824,2020-08-13 17:12:19.896571,2020-08-13 18:17:56.305146,0 days 01:05:36.408575000,0.0006368174776192102,128,128.0,0.0020589018329821777,0.9531845070673187,55,7.34512862189204e-06,COMPLETE
44,44,-0.10112420482691292,2020-08-13 18:17:56.305648,2020-08-13 19:23:51.965686,0 days 01:05:55.660038000,0.0018147817388429808,128,112.0,0.003386247682153963,0.9155271655213855,46,3.425697164475614e-06,COMPLETE
45,45,-0.11900815318057181,2020-08-13 19:23:51.966184,2020-08-13 19:59:19.250219,0 days 00:35:27.284035000,0.0033244161693341775,256,64.0,0.0006629786856609211,0.982078233265237,78,1.1164992717063107e-06,COMPLETE
46,46,-0.13860475445280318,2020-08-13 19:59:19.250715,2020-08-13 21:00:41.728991,0 days 01:01:22.478276000,0.0009963390550231039,128,96.0,0.0014771256898579181,0.7903806878439075,74,5.658162237402438e-06,COMPLETE
47,47,-0.006512346094983261,2020-08-13 21:00:41.729505,2020-08-13 21:33:10.191020,0 days 00:32:28.461515000,4.28014533327341e-05,256,112.0,0.00112061197770378,0.9455345543551243,68,0.001601022030899696,COMPLETE
48,48,-0.1162918026302341,2020-08-13 21:33:10.191529,2020-08-13 22:33:38.388106,0 days 01:00:28.196577000,0.000397843490608561,128,128.0,0.0008628975990531636,0.8766441510199623,58,9.956062896302239e-05,COMPLETE
49,49,-0.14010032360481295,2020-08-13 22:33:38.388626,2020-08-13 22:56:32.856441,0 days 00:22:54.467815000,0.007075152202170889,384,96.0,0.0020640996978301446,0.8445436675150663,81,1.438085175330619e-06,COMPLETE
